Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
Franklin Pierce University,Bachelor's,Graduate,Private,New England,Fringe Rural,0.8472,19,975,44410,7615,5299,15289,22.5100002,68287,33700
Plymouth State University,Bachelor's,Graduate,Public,New England,Remote Town,0.7748,21,965,24828,8487,8065,21000,19.9200001,83925,33900
Rivier University,Bachelor's,Graduate,Private,New England,Small City,0.8928,19,932,39525,7573,6599,21000,23.3199997,77445,40700
Saint Anselm College,Bachelor's,Bachelor's,Private,New England,Mid-size Suburb,0.7365,25,1145,48016,10515,8086,27000,19.4200001,101953,48800
Caldwell College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6408,21,949,38223,6788,7944,19125,24.4699993,50740,38400
Centenary College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.9094,21,956,44586,5408,6656,19837.5,25.3899994,64948,38300
Drew University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7743,25,1109,56932,13206,8538,25000,19.3999996,94248,40900
Felician College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.8819,19,877,41750,8805,6612,20834,25.3899994,48610,39800
Monmouth University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7791,24,1063,42307,8540,8286,22500,20.3199997,91415.5,44600
New Jersey Institute of Technology,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6547,26,1142,26700,8337,11262,16145,21.5300007,43773,58300
Princeton University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.0741,33,1495,55430,48021,15711,7500,20.0400009,50686,66500
Ramapo College of New Jersey,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5526,23,1096,27781,8976,9521,19500,20.7299995,79102,45300
Rider University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7187,22,1038,48163,12584,10318,22125,20.8099995,81460,43800
Saint Peter's University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5408,19,913,40921,8447,8274,17500,21.9400005,42545,40000
Seton Hall University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7916,25,1121,46869,10681,9282,19500,20.7700005,69730,50900
Stevens Institute of Technology,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.3816,30,1305,59479,14918,9474,26500,19.5400009,87408,79200
The Richard Stockton College of New Jersey,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size Suburb,0.6211,22,1068,26086,8256,9242,18750,22.0900002,64554.5,42300
Eastern New Mexico University-Main Campus,Bachelor's,Graduate,Public,Southwest,Remote Town,0.6321,20,932,15021,5613,5960,9436,24,24637,26100
New Mexico Military Institute,Associate,Associate,Public,Southwest,Remote Town,0.4186,20,967,14200,13188,6852,5500,19.5900002,35888.5,31900
New Mexico Institute of Mining and Technology,Bachelor's,Graduate,Public,Southwest,Remote Town,0.4136,26,1200,17600,9268,6908,9283,21.5200005,42214,48600
University of New Mexico-Main Campus,Bachelor's,Graduate,Public,Southwest,Large City,0.6458,22,1038,16822,11288,8938,14164.5,23.9699993,26437,31900
New Mexico State University-Main Campus,Bachelor's,Graduate,Public,Southwest,Mid-size Suburb,0.852,21,982,17290,8494,7954,11147,23.5100002,26390.5,30200
Santa Fe University of Art and Design,Bachelor's,Graduate,Private For-Profit,Southwest,Small City,0.9975,21,998,41417,7676,6682,12500,26.7600002,40207,32200
Adelphi University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,41559,12142,11315,21325,23.1299992,54115,49400
Albany College of Pharmacy and Health Sciences,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.634,27,1195,40718,11879,8530,24930.5,21.0599995,80225,125600
Alfred University,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Town,0.698,25,1106,38830,10891,6408,21500,19.8799992,69334,35400
Barnard College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Large City,0.2053,30,1340,59581,21351,11888,16000,19.2399998,77701,46900
Canisius College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7251,25,1101,42796,8788,7530,20000,19.7000008,78118,40800
Clarkson University,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Town,0.6403,26,1187,54772,13218,10138,24187,19.5599995,82272,62400
Colgate University,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.2638,31,1370,57745,21634,10985,15062.5,19.2900009,91654,53400
Columbia University in the City of New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.0742,33,1471,61540,78147,15706,17125,23.7600002,30939,69500
Concordia College-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6701,18,912,36593,8315,5362,20437.5,22.4500008,64277,38000
Cooper Union for the Advancement of Science and Art,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.0774,31,1358,56735,24981,11865,17500,20.3400002,46772,50400
Cornell University,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.1556,32,1422,59572,23140,13820,11500,19.7999992,81957,65000
D'Youville College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7908,23,1047,32741,8975,6071,20325,24.3999996,37451,45500
Dominican College of Blauvelt,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7189,21,899,35825,7242,7601,19000,22.8099995,50370,43700
Elmira College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.7978,24,1060,50608,8417,4676,21500,20.9300003,73671,37600
Five Towns College,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large Suburb,0.5509,21,894,31557,3621,4824,17625,20.8199997,61243,30100
Fordham University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.4713,28,1258,56604,13784,12679,21500,20.0900002,74870,50300
Hamilton College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Fringe Rural,0.2719,31,1384,57420,28954,11159,15500,19.3700008,99145,52600
Hartwick College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Remote Town,0.8424,25,1126,48699,11990,8002,19500,19.5200005,77126,37300
Hofstra University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5871,26,1165,49604,15989,12848,19150,20.4200001,74751,45900
Houghton College,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Rural,0.9108,25,1113,38352,10107,4007,19000,23.0799999,62241.5,35800
Iona College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.9212,22,1009,44623,8271,9082,21000,19.9899998,79521,45400
LIM College,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large City,0.7502,20,907,41111,4491,6582,20000,20.0200005,69085,42300
Le Moyne College,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.619,24,1080,42068,9710,8776,21216.5,21.5200005,62276,45000
LIU Brooklyn,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.869,20,921,42712,11583,9917,18325.5,24.6800003,15328,42100
LIU Post,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.8067,21,974,44701,10405,10748,18325.5,21.9799995,39528,42100
Manhattan College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6617,25,1090,44895,9882,9042,21500,19.7199993,94555,56000
Maria College of Albany,Associate,Bachelor's,Private,Mid-Atlantic,Small City,0.1603,20,874,17344,5852,5891,14652.5,30.1900005,31068,37300
Marymount Manhattan College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Large City,0.7463,24,1053,45323,10187,8312,15516,20.1200008,75779,36900
Molloy College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7267,23,1054,36702,12758,8716,25000,23.7900009,58419,53600
Mount Saint Mary College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.86,22,1006,38808,7429,8458,20910,22.4400005,69110,43700
College of Mount Saint Vincent,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.731,20,919,37738,8295,8049,25000,20.7700005,53055.5,46500
The College of New Rochelle,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5695,24,986,43273,5170,8030,16000,32.3600006,18962,33300
The New School,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6659,25,1131,57203,12326,9716,20500,22.9200001,48618,38200
New York University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.2605,30,1352,60059,28606,13434,21500,20.7299995,74827,52500
Niagara University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6633,23,1038,38829,7355,8135,21000,20.0400009,77507.5,37600
New York Institute of Technology,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.7407,22,1039,39014,15085,11418,17250,26.0799999,40609.5,46800
Nyack College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.9671,20,915,34586,7721,6525,15750,29.5699997,44111,39200
Pace University-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7683,23,1043,50625,10191,11627,19500,21.4899998,50322,51000
Paul Smiths College of Arts and Science,Bachelor's,Bachelor's,Private,Mid-Atlantic,Distant Rural,0.7474,23,986,38860,6341,5447,16750,20.4200001,60511,30600
Polytechnic Institute of New York University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7523,30,1303,50199,14256,10047,21500,19.7000008,35393,62000
Davis College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Mid-size Suburb,0.5859,17,928,21593,3198,4587,12000,23.5200005,42273.5,23900
Pratt Institute-Main,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5572,26,1140,54582,13360,9254,23241,20.8899994,59029,37300
Rensselaer Polytechnic Institute,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.412,29,1366,59470,20550,12145,27000,19.7199993,94717.5,70100
Roberts Wesleyan College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.726,23,1046,38826,10436,6293,20432,25.1700001,57714,37600
Rochester Institute of Technology,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6016,28,1232,45772,16160,9621,24500,20.6499996,72166,54000
University of Rochester,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.3568,31,1353,59156,29937,12762,24325.5,20.2399998,85192,50200
St Bonaventure University,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Town,0.7999,24,1075,41265,7923,6445,21501,19.6299992,85354,38400
St Joseph's College of Nursing at St Joseph's Hospital Health Center,Associate,Associate,Private,Mid-Atlantic,Mid-size City,0.4121,22,1015,23992,12417,7546,12075,30.1399994,50740,56100
St Thomas Aquinas College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.8224,19,931,36823,9077,8773,15000,20.0300007,80256,39100
Siena College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6805,25,1122,45452,10545,8320,23000,19.7399998,93663,49400
Skidmore College,Bachelor's,Graduate,Private,Mid-Atlantic,Small Suburb,0.3505,28,1247,58562,19402,9067,19500,20.25,79221,41900
Saint Joseph's College-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.7538,23,1054,25290,7860,8720,19500,23.8700008,66404,47800
Saint John Fisher College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6277,25,1095,39014,8715,8342,21500,20.7700005,77096,41400
St John's University-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5316,24,1093,50233,10743,11777,20000,19.6900005,49731,48000
SUNY College of Technology at Alfred,Associate,Bachelor's,Public,Mid-Atlantic,Remote Town,0.5494,24,1090,21127,9777,5797,12000,21.4899998,51047,35600
SUNY College of Agriculture and Technology at Cobleskill,Associate,Bachelor's,Public,Mid-Atlantic,Distant Town,0.7309,19,975,21178,7997,6477,11420.5,20.5699997,52678,29900
Farmingdale State College,Bachelor's,Bachelor's,Public,Mid-Atlantic,Large Suburb,0.5264,21,969,15258,9540,7951,11000,22.8400002,44234,44200
Morrisville State College,Associate,Bachelor's,Public,Mid-Atlantic,Distant Rural,0.5898,19,930,22083,10578,5781,12000,21.1499996,42476.5,29400
SUNY at Albany,Bachelor's,Graduate,Public,Mid-Atlantic,Small City,0.5545,24,1102,21249,11393,9423,16750,20.2999992,60558,44100
SUNY at Binghamton,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size Suburb,0.4287,29,1297,21966,10953,9059,17750,20.3099995,57865.5,52100
University at Buffalo,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5652,26,1158,20885,15151,10026,15200,20.7800007,56636,44500
Stony Brook University,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.3948,28,1253,20611,18552,10346,17000,20.7000008,42408,48200
SUNY College of Environmental Science and Forestry,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size City,0.5052,25,1155,22550,15891,8282,17124,21.0200005,67355,38200
SUNY Institute of Technology at Utica-Rome,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size Suburb,0.4754,24,1053,19843,9945,8487,13193.5,24.1800003,40836.5,44800
SUNY College at Brockport,Bachelor's,Graduate,Public,Mid-Atlantic,Fringe Town,0.4774,24,1069,19511,11538,7181,17750,21.4500008,62559,37600
SUNY College at Cortland,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.4683,23,1058,21840,9182,6517,18750,20.2700005,77274.5,40400
SUNY at Fredonia,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.5154,24,1056,20802,10250,6817,19000,19.9300003,75269.5,35700
SUNY College at Geneseo,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.4566,28,1274,21004,10011,7177,18500,19.8199997,84076,42500
State University of New York at New Paltz,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.4359,25,1129,20428,10228,6719,17500,21.0599995,59391,38500
SUNY Oneonta,Bachelor's,Graduate,Public,Mid-Atlantic,Remote Town,0.5073,24,1097,20762,8609,6242,20500,20.1000004,72432,37300
SUNY College at Oswego,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.4863,24,1110,21222,9804,6733,18750,20.6900005,63043,36400
SUNY at Purchase College,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.3319,24,1082,22381,10361,7092,19750,20.6100006,63153,30900
SUNY College at Old Westbury,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5804,21,998,15888,9499,8055,13821,22.0499992,34319,39000
SUNY College at Plattsburgh,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.4564,22,1026,20371,10349,6830,18750,20.9200001,65821,36600
SUNY Maritime College,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6396,23,1056,21493,10198,6536,21980,20.5499992,79477.5,68300
Syracuse University,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.4949,26,1158,55600,14915,10822,27000,20.0100002,80005.5,50800
Union College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Small City,0.3728,30,1313,58023,20763,10454,24334,19.4599991,98739.5,54700
Utica College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.8542,21,946,44394,8035,7905,18000,21.8400002,55077,37600
Vassar College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Large Suburb,0.2411,32,1394,59320,29148,11065,16590,19.3999996,102049,42300
School of Visual Arts,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large City,0.7489,23,1020,48993,11276,4887,23500,21.0799999,51909,35000
Wagner College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6988,25,1154,49453,10939,7949,22875,19.8999996,94891,50800
Wells College,Bachelor's,Bachelor's,Private,Mid-Atlantic,Distant Rural,0.5967,24,1075,48142,9525,6983,17875,20.8199997,50673,30100
Yeshiva University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.8216,26,1217,53825,33021,5086,15358.5,19.6200008,87607,49000
Appalachian State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6323,26,1156,17780,7361,7657,15635,20.6800003,69100,33600
Barton College,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.4177,20,939,37437,6597,5838,21500,24.1299992,43763.5,33800
Belmont Abbey College,Bachelor's,Bachelor's,Private,Southeast,Mid-size Suburb,0.6759,21,977,39328,5227,4524,18500,25.7900009,55427,33300
Brevard College,Bachelor's,Bachelor's,Private,Southeast,Fringe Town,0.4489,20,950,35062,8357,5054,11306.5,20.7299995,58691,25500
Cabarrus College of Health Sciences,Associate,Bachelor's,Private,Southeast,Small City,0.3107,23,998,19688,6927,6672,12750,26.0300007,49956,39500
Campbell University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.6983,22,1030,40323,8835,7536,17000,22.7800007,50771,41000
Chowan University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.6154,16,777,32188,5191,6164,9500,20.6000004,41295,29400
Davidson College,Bachelor's,Bachelor's,Private,Southeast,Large Suburb,0.2561,31,1353,54930,17631,11706,15750,19.4599991,111520,47900
Duke University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.1342,32,1444,59528,51653,14288,6569,21.3099995,73265,69400
East Carolina University,Bachelor's,Graduate,Public,Southeast,Small City,0.6217,23,1050,19851,11838,7975,18500,21.7099991,53731,35900
Elizabeth City State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.5715,17,849,10620,8556,7545,18137,21.9799995,26308,25100
Elon University,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.5398,25,1200,41679,14745,8485,20500,19.5300007,104953,43600
Fayetteville State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5496,18,851,13188,8010,8064,17003.5,23.7900009,26610.5,26700
Gardner-Webb University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.4817,22,1018,35790,6176,6413,17840,25.8700008,46379.5,34400
Greensboro College,Bachelor's,Graduate,Private,Southeast,Large City,0.7831,18,891,37497,6340,6025,20000,23.2000008,58496,32400
Guilford College,Bachelor's,Bachelor's,Private,Southeast,Large City,0.6818,23,1067,44255,7234,6361,18500,27.3999996,36082.5,33400
High Point University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6418,24,1087,42300,8793,6894,18250,24.9599991,47907.5,34900
Johnson C Smith University,Bachelor's,Bachelor's,Private,Southeast,Large City,0.3668,17,826,30314,6837,6158,18750,19.5900002,34256.5,25100
Lenoir-Rhyne University,Bachelor's,Graduate,Private,Southeast,Small City,0.6806,21,976,39425,7048,6600,17714,21.2900009,62412.5,33600
Livingstone College,Bachelor's,Bachelor's,Private,Southeast,Mid-size Suburb,0.7122,15,723,25050,4901,5557,16750,20.9899998,28538.5,20900
Mars Hill University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.6447,20,941,36669,5825,5017,12000,22.3999996,50049,28400
Meredith College,Bachelor's,Graduate,Private,Southeast,Large City,0.6232,23,1040,39296,9730,6925,20500,22.5900002,56959.5,34400
Methodist University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6122,21,961,45011,7620,6726,11200,22.8799992,45688.5,35200
Montreat College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.5429,20,950,33963,4259,5125,19700,28.7099991,51073,34100
Mount Olive College,Bachelor's,Bachelor's,Private,Southeast,Fringe Town,0.4979,19,915,26161,3143,6231,18845,31.1499996,38102,35200
North Carolina A & T State University,Bachelor's,Graduate,Public,Southeast,Large City,0.6964,19,902,15313,9006,8227,19843,20.6100006,37668.5,29900
University of North Carolina at Asheville,Bachelor's,Graduate,Public,Southeast,Small City,0.6403,26,1190,17468,9085,7371,15772.5,22.0100002,48654,31600
University of North Carolina at Chapel Hill,Bachelor's,Graduate,Public,Southeast,Small City,0.2759,30,1313,23069,25891,11392,15000,20.6299992,64969.5,48000
University of North Carolina at Charlotte,Bachelor's,Graduate,Public,Southeast,Large City,0.6852,23,1066,17767,8855,8337,16500,21.9099999,51983,38300
University of North Carolina at Greensboro,Bachelor's,Graduate,Public,Southeast,Large City,0.6002,23,1029,17362,8803,7926,16000,21.5599995,50195,33300
North Carolina Central University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5033,18,859,17873,10084,7653,21670,22.8299999,29880,30200
University of North Carolina School of the Arts,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.4521,23,1105,19666,20892,6953,19500,20.2000008,69633.5,29600
North Carolina State University at Raleigh,Bachelor's,Graduate,Public,Southeast,Large City,0.5001,28,1229,20511,13831,9774,17750,20.5400009,66351,44100
North Carolina Wesleyan College,Bachelor's,Bachelor's,Private,Southeast,Small City,0.4676,18,863,36686,5604,5438,13514,25.5200005,38164.5,35100
University of North Carolina Wilmington,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5419,24,1154,18165,7865,7872,16500,21.1299992,63608.5,35700
William Peace University,Bachelor's,Bachelor's,Private,Southeast,Large City,0.9086,19,910,37712,5032,4217,14000,20.2600002,57299,31700
University of North Carolina at Pembroke,Bachelor's,Graduate,Public,Southeast,Distant Town,0.7204,20,926,15784,7001,6516,13260,23.7399998,36289.5,30500
Pfeiffer University,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.9609,20,954,34515,6191,5808,16417.5,25.7399998,49533,34900
Piedmont International University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.4884,19,878,22699,3454,3006,12000,23.7999992,39036,25700
Queens University of Charlotte,Bachelor's,Graduate,Private,Southeast,Large City,0.7686,24,1058,40930,9180,4064,18812.5,25.3700008,45248.5,38100
Mid-Atlantic Christian University,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.4107,17,853,24257,3846,5186,12000,22.75,47354,25200
Saint Augustine's University,Bachelor's,Bachelor's,Private,Southeast,Large City,0.6738,15,749,31095,6544,5105,20250,21.6700001,31823,23100
Salem College,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.582,25,1110,39859,7665,5969,18750,27.1499996,40939,31400
St Andrews University,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.6448,21,964,38467,6704,5181,9500,21.5,60464.5,31100
Warren Wilson College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.696,25,1136,41000,10902,5066,14000,20.1000004,65481,20200
Wingate University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.793,22,1013,35465,8685,7232,15750,20.6399994,68642.5,37400
Winston-Salem State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5565,18,889,15990,10878,7643,20499,22.9799995,30559.5,28900
Western Carolina University,Bachelor's,Graduate,Public,Southeast,Fringe Rural,0.3766,22,1034,17805,7906,7493,15000,21.2700005,55820,32200
Dickinson State University,Bachelor's,Bachelor's,Public,Great Plains,Remote Town,0.4868,21,965,13314,9327,6315,13000,22.3400002,47245.5,35400
University of Jamestown,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.5689,23,1038,27712,6849,6234,17000,20.7099991,68940.5,36900
University of Mary,Bachelor's,Graduate,Private,Great Plains,Fringe Rural,0.8307,23,1046,22936,6616,6158,16435,23.4099999,59522,43200
Minot State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.5662,22,1004,14549,8038,6338,12878.5,22.9300003,43540,34600
University of North Dakota,Bachelor's,Graduate,Public,Great Plains,Small City,0.737,24,1090,20538,16008,8361,16728,20.9899998,72841.5,42600
North Dakota State University-Main Campus,Bachelor's,Graduate,Public,Great Plains,Mid-size City,0.841,24,1091,18277,7707,8163,17000,20.5200005,71695,41400
Valley City State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.829,21,967,16086,10876,5793,12000,21.6499996,55533,34000
University of Akron Main Campus,Bachelor's,Graduate,Public,Great Lakes,Mid-size City,0.9649,22,1016,21338,8567,9209,15000,22.9200001,42489,31800
Art Academy of Cincinnati,Bachelor's,Graduate,Private,Great Lakes,Large City,0.2548,22,1009,32485,27594,4533,20375,21.0100002,73527,24000
Ashland University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.7438,23,1043,40835,7945,6922,21500,23.0599995,63187.5,36300
Aultman College of Nursing and Health Sciences,Associate,Associate,Private,Great Lakes,Small City,1,23,1070,24311,7822,5982,17150,30.5499992,36127,55300
Baldwin Wallace University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6396,24,1096,37504,10201,7418,24000,21.3899994,74030,39900
Bluffton University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.5308,22,1027,40078,8243,5189,19450,22.0499992,68081,34900
Bowling Green State University-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Fringe Town,0.7247,22,1009,22416,8529,7669,17500,20.8199997,70038,35500
Capital University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.7604,24,1102,42600,9026,8743,21500,22.4500008,64146.5,39800
Case Western Reserve University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.4188,31,1377,55783,31974,10272,22500,21.9400005,57740,61800
Cedarville University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.7401,27,1195,33652,9988,6831,19500,19.6299992,83099,36000
Central State University,Bachelor's,Graduate,Public,Great Lakes,Fringe Rural,0.3328,17,825,17380,6839,6423,17411,20.5699997,25877,20500
The Christ College of Nursing and Health Sciences,Associate,Associate,Private,Great Lakes,Large City,0.525,22,1011,25338,10770,6507,18208,29.3799992,40527,47500
Cincinnati Christian University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6398,21,989,25900,6054,5323,16865,25.4200001,52439,28000
University of Cincinnati-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Large City,0.7325,25,1141,25799,10476,9079,15000,23,50863,36200
Ohio Christian University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.9711,20,939,33077,4377,1476,10035,28.5,35443,29400
Cleveland Institute of Art,Bachelor's,Bachelor's,Private,Great Lakes,Large City,0.6825,23,1060,50146,14879,5439,27000,20.7099991,71264,29000
Cleveland State University,Bachelor's,Graduate,Public,Great Lakes,Large City,0.6287,22,1030,22041,8213,8624,16500,24.7099991,31001,36900
Columbus College of Art and Design,Bachelor's,Graduate,Private,Great Lakes,Large City,0.8551,22,1035,39478,9500,6470,26945,20.75,63255,27300
University of Dayton,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.5297,27,1181,46250,10823,8494,23250,19.75,108917.5,45900
Defiance College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.716,21,964,38824,6401,5811,16000,21.6599999,65722,35200
Denison University,Bachelor's,Bachelor's,Private,Great Lakes,Small Suburb,0.4597,29,1285,54490,17853,8414,22000,19.4099999,101305,43100
The University of Findlay,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6832,24,1083,38941,8412,7043,18770,21.6700001,71474,38700
Good Samaritan College of Nursing and Health Science,Associate,Associate,Private,Great Lakes,Large City,0.7222,21,970,25222,13191,6532,17000,26.3099995,49474,48300
Hiram College,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.5736,22,1030,42672,9169,5420,21333.5,23.1900005,63023.5,35300
John Carroll University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.8334,25,1112,45714,9365,8098,23489.5,19.7800007,88730,45100
Kent State University at Kent,Bachelor's,Graduate,Public,Great Lakes,Large Suburb,0.8302,23,1048,23995,7675,8299,16500,22.3600006,51560,33100
Kenyon College,Bachelor's,Bachelor's,Private,Great Lakes,Distant Town,0.3838,30,1328,57910,19725,8924,16491,19.4899998,110054,37400
Kettering College,Associate,Graduate,Private,Great Lakes,Large Suburb,0.8514,21,1002,19993,8849,6776,19000,26.3600006,53425,51200
Lake Erie College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5561,21,983,39085,5191,6327,16160,22.5100002,54053,31300
Malone University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.7179,23,1046,35213,6567,6277,19549,24.7099991,63498,36600
